Empresa ,Razão Social,CNPJ,Capital Social,Intervalo de capital,Segmento,Funcionários,Intervalo de Funcionários,Localização,Linkedin,Uniue Segmento,Contagem de Segmento,Top Segmento,,,,,,,,,,job_industry_collection,job_functions_collection
AGROPLAY,AGROPLAY MUSIC LTDA,52.313.617/0001-60,"20,000.00",Até 100 mil,Produção musical,36.00,11–50,"Londrina, Paraná",https://www.linkedin.com/jobs/view/desenvolvedor-full-stack-at-agroplay-4233125979,,,,,,,,,,,,,[{'job_industry_list': {'industry': 'Entertainment Providers'}}],['Engineering and Information Technology']
"Silva Vitor, Faria & Ribeiro Advogados","SILVA VITOR, FARIA & RIBEIRO SOCIEDADE DE ADVOGADOS",13.602.194/0001-47,"10,000.00",Até 100 mil,Serviços advocatícios,53.00,51–200,"Nova Lima, Minas Gerais",https://www.linkedin.com/jobs/view/analista-de-recursos-humanos-at-silva-vitor-faria-ribeiro-advogados-4233125317,,,,,,,,,,,,,[{'job_industry_list': {'industry': 'Legal Services'}}],['Human Resources']
ROIT,ROIT INNOVATION DESENVOLVIMENTO S/A,11.216.711/0001-14,"2,468,500.00",1 – 10 milhões,Desenvolvimento e licenciamento de programas de computador não-customizáveis,206.00,201–500,"São Paulo, SP",https://www.linkedin.com/jobs/view/estagi%25C3%25A1rio-a-de-rh-at-roit-4233124484,,,,,,,,,,,,,[{'job_industry_list': {'industry': 'IT Services and IT Consulting'}}],['Other']
Fortali,FORTALI DISTRIBUIDORA DE ALIMENTOS LTDA.,09.317.318/0001-75,"19,995,734.00",10 – 100 milhões,Comércio atacadista especializado em outros produtos alimentícios não especificados anteriormente,186.00,51–200,"Fortaleza, Ceará",https://www.linkedin.com/jobs/view/gerente-de-gente-e-gest%25C3%25A3o-at-fortali-4233116102,,,,,,,,,,,,,[{'job_industry_list': {'industry': 'Wholesale Food and Beverage'}}],['Other']
Angeloni,A. ANGELONI & CIA. LTDA,83.646.984/0001-00,"61,924,500.00",10 – 100 milhões,"Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - supermercados","6,659.00",5001-10000,"Criciuma, SC",https://www.linkedin.com/jobs/view/analista-de-rh-treinamento-em-atendimento-at-angeloni-4233112064,,,,,,,,,,,,,[{'job_industry_list': {'industry': 'Retail Groceries'}}],['Human Resources']
Wilson Sons,WILSON SONS S.A.,33.130.691/0001-05,"1,358,729,968.00",Acima de 1 bilhão,Holdings de instituições não-financeiras,"4,423.00",1001-5000,"Rio de Janeiro, RJ",https://www.linkedin.com/jobs/view/assistente-de-rh-sr-santo-andr%25C3%25A9-at-wilson-sons-4233110022,,,,,,,,,,,,,[{'job_industry_list': {'industry': 'Maritime Transportation'}}],['Human Resources']
Valeo,VALEO SISTEMAS AUTOMOTIVOS LTDA.,57.010.662/0001-60,"782,874,538.00",100 milhões – 1 bilhão,Fabricação de outras peças e acessórios para veículos automotores não especificadas anteriormente,"38,329.00",+10000,"Paris, Île-de-France",https://www.linkedin.com/jobs/view/est%25C3%25A1gio-em-rh-at-valeo-4233108883,,,,,,,,,,,,,[{'job_industry_list': {'industry': 'Motor Vehicle Parts Manufacturing'}}],['Human Resources']
Supercomm,SUPERCOMM S.A.,39.893.680/0001-55,"12,931,017.00",10 – 100 milhões,Comércio varejista especializado de equipamentos de telefonia e comunicação,130.00,51–200,"Rio de Janeiro, RJ",https://www.linkedin.com/jobs/view/estagi%25C3%25A1rio-de-recursos-humanos-at-supercomm-4232966135,,,,,,,,,,,,,[{'job_industry_list': {'industry': 'Software Development'}}],['Human Resources']
Sollaris Desenvolvimento Humano,MARILIA DIAS SANTOS - SOLLARIS,32.120.132/0001-43,"3,000.00",Até 100 mil,Treinamento em desenvolvimento profissional e gerencial,5.00,0–10,"Vila Velha, Espírito Santo",https://www.linkedin.com/jobs/view/analista-de-recursos-humanos-sp-at-sollaris-desenvolvimento-humano-4232957386,,,,,,,,,,,,,[{'job_industry_list': {'industry': 'Human Resources Services'}}],['Human Resources']
DB Diagnósticos,DB - MEDICINA DIAGNOSTICA LTDA.,12.433.420/0001-40,"68,279,641.00",10 – 100 milhões,Laboratórios clínicos,"2,267.00",1001-5000,"São José dos Pinhais, Paraná",https://www.linkedin.com/jobs/view/analista-de-laborat%25C3%25B3rio-pleno-citogen%25C3%25A9tica-sp-at-db-diagn%25C3%25B3sticos-4232956393,,,,,,,,,,,,,[{'job_industry_list': {'industry': 'Wellness and Fitness Services'}}],"['Research, Analyst, and Information Technology']"
Alpha Estágio,ALPHA ESTAGIO LTDA,33.209.528/0001-24,"6,000.00",Até 100 mil,Serviços combinados de escritório e apoio administrativo,14.00,11–50,"Ribeirão Preto, São Paulo",https://www.linkedin.com/jobs/view/est%25C3%25A1gio-em-pedagogia-sp-at-alpha-est%25C3%25A1gio-4232955520,,,,,,,,,,,,,[{'job_industry_list': {'industry': 'Facilities Services'}}],['Education and Training']
Avenida,LOJAS AVENIDA S.A,00.819.201/0001-15,"789,548,666.00",100 milhões – 1 bilhão,Comércio varejista de artigos do vestuário e acessórios,"2,861.00",1001-5000,"São Paulo, SP",https://www.linkedin.com/jobs/view/analista-de-recrutamento-e-sele%25C3%25A7%25C3%25A3o-sp-at-avenida-4232955441,,,,,,,,,,,,,[{'job_industry_list': {'industry': 'Retail'}}],['Human Resources']
Quality Alimentação,B & F SOLUCOES EM ALIMENTACAO E SERVICOS LTDA.,07.595.255/0001-93,"390,000.00",100 mil – 1 milhão,Fornecimento de alimentos preparados preponderantemente para empresas,289.00,201–500,"São Paulo, SP",https://www.linkedin.com/jobs/view/est%25C3%25A1gio-em-psicologia-ce-at-quality-alimenta%25C3%25A7%25C3%25A3o-4232955444,,,,,,,,,,,,,[{'job_industry_list': {'industry': 'Restaurants'}}],['Education and Training']
Semente Negócios,SEMENTE CONSULTORIA EM NEGOCIOS E FINANCAS S.A.,13.417.973/0001-72,"50,000.00",Até 100 mil,Agentes de investimentos em aplicações financeiras,59.00,51–200,"São Paulo, SP",https://www.linkedin.com/jobs/view/4232912525,,,,,,,,,,,,,[{'job_industry_list': {'industry': 'Business Consulting and Services'}}],['Other']
CP Ófris,CP OFRIS HOLDING LTDA,50.667.280/0001-64,"5,477,319.00",1 – 10 milhões,Holdings de instituições não-financeiras,38.00,11–50,"Paulista, PE",https://www.linkedin.com/jobs/view/auxiliar-de-vendas-loja-ipojuca-at-cp-%25C3%25B3fris-4232912512,,,,,,,,,,,,,[{'job_industry_list': {'industry': 'Retail'}}],['Sales']
Red Bull,RED BULL DO BRASIL LTDA.,02.946.761/0001-66,"3,010,341.00",1 – 10 milhões,"Comércio atacadista de cerveja, chope e refrigerante","33,127.00",+10000,Fuschl,https://www.linkedin.com/jobs/view/4232766066,,,,,,,,,,,,,[{'job_industry_list': {'industry': 'Food and Beverage Services'}}],['Marketing']
Montseguro Corretora,MONT SEGURO CORRETORA DE SEGUROS LTDA,37.536.094/0001-28,"20,000.00",Até 100 mil,"Corretores e agentes de seguros, de planos de previdência complementar e de saúde",38.00,11–50,"Brasília, Federal District",https://www.linkedin.com/jobs/view/analista-de-recursos-humanos-at-montseguro-corretora-4232474208,,,,,,,,,,,,,[{'job_industry_list': {'industry': 'Wellness and Fitness Services'}}],['Human Resources']
carOne,DRIFT COMERCIO DE ALIMENTOS S/A.,28.129.260/0009-38,0.00,Até 100 mil,"Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - supermercados",4.00,0–10,,https://www.linkedin.com/jobs/view/est%25C3%25A1gio-em-recrutamento-e-sele%25C3%25A7%25C3%25A3o-es-at-carone-4232443164,,,,,,,,,,,,,"[{'job_industry_list': {'industry': 'Technology, Information and Internet'}}]",['Education and Training']
RHF TALENTOS - VITÓRIA,HUMANIZARH CONSULTORIA DE RH LTDA,58.610.743/0001-63,300.00,Até 100 mil,Seleção e agenciamento de mão-de-obra,3.00,0–10,"Vitória, ES",https://www.linkedin.com/jobs/view/auxiliar-administrativo-e-rh-at-rhf-talentos-vit%25C3%25B3ria-4232389128,,,,,,,,,,,,,[{'job_industry_list': {'industry': 'Human Resources Services'}}],['Administrative']
Rio Shop Serviços,RIO SHOP SERVICOS LTDA,73.833.360/0001-48,"5,000,000.00",1 – 10 milhões,Serviços combinados de escritório e apoio administrativo,227.00,201–500,"Niterói, Rio de Janeiro",https://www.linkedin.com/jobs/view/psic%25C3%25B3logo-at-rio-shop-servi%25C3%25A7os-4232300448,,,,,,,,,,,,,[{'job_industry_list': {'industry': 'Outsourcing and Offshoring Consulting'}}],['Health Care Provider']
Amvox,REISTAR INDUSTRIA E COMERCIO DE ELETRONICOS LTDA.,05.949.989/0001-06,"155,000,000.00",100 milhões – 1 bilhão,"Fabricação de aparelhos de recepção, reprodução, gravação e amplificação de áudio e vídeo",366.00,201–500,"Camaçari, Bahia",https://www.linkedin.com/jobs/view/assistente-de-rh-at-amvox-4232102502,,,,,,,,,,,,,[{'job_industry_list': {'industry': 'Renewable Energy Semiconductor Manufacturing'}}],['Human Resources']
Porto,PORTO SEGURO COMPANHIA DE SEGUROS GERAIS,61.198.164/0001-60,"3,810,299,505.14",Acima de 1 bilhão,Sociedade seguradora de seguros não vida,"22,140.00",+10000,"Sao Paulo, SP",https://www.linkedin.com/jobs/view/analista-de-treinamento-pleno-at-porto-4232008021,,,,,,,,,,,,,[{'job_industry_list': {'industry': 'Insurance'}}],['Human Resources']
Teagá Inovação,TEAGA INOVACAO E TECNOLOGIA S.A.,44.179.518/0001-00,"830,000.00",100 mil – 1 milhão,Holdings de instituições financeiras,28.00,11–50,"Taubaté, São Paulo",https://www.linkedin.com/jobs/view/operador-cnc-at-teag%25C3%25A1-inova%25C3%25A7%25C3%25A3o-4232013311,,,,,,,,,,,,,[{'job_industry_list': {'industry': 'Holding Companies'}}],['Production']
IEL Empregos,INSTITUTO EUVALDO LODI NUCLEO REGIONAL DO RIO G NORTE,08.431.454/0001-29,0.00,Até 100 mil,Atividades de associações de defesa de direitos sociais,Não encontrado,+10000,"Cuiabá, Mato Grosso",https://www.linkedin.com/jobs/view/bolsista-projeto-conex%25C3%25A3o-talentos-pessoas-at-iel-empregos-4231752005,,,,,,,,,,,,,[{'job_industry_list': {'industry': 'Facilities Services'}}],['Other']
Tietê Agroindustrial S.A.,TIETE AGROINDUSTRIAL S.A.,51.843.514/0001-40,"448,355,286.00",100 milhões – 1 bilhão,Fabricação de açúcar em bruto,655.00,501–1000,"Paraíso, SP",https://www.linkedin.com/jobs/view/recursos-humanos-banco-de-talentos-sp-at-tiet%25C3%25AA-agroindustrial-s-a-4231745607,,,,,,,,,,,,,[{'job_industry_list': {'industry': 'Farming'}}],['Human Resources']
Sicoob Integração,COOPERATIVA DE CREDITO DE LIVRE ADMISSAO UNIAO E NEGOCIOS - SICOOB INTEGRACAO,08.742.188/0001-55,"224,000.00",100 mil – 1 milhão,Cooperativas de crédito mútuo,172.00,51–200,"Cuiabá, Mato Grosso",https://www.linkedin.com/jobs/view/analista-de-gest%25C3%25A3o-de-pessoas-atua%25C3%25A7%25C3%25A3o-atra%25C3%25A7%25C3%25A3o-e-sele%25C3%25A7%25C3%25A3o-at-sicoob-integra%25C3%25A7%25C3%25A3o-4231747679,,,,,,,,,,,,,[{'job_industry_list': {'industry': 'Financial Services'}}],['Business Development and Sales']
Invillia,INVILLIA - DESENVOLVIMENTO DE PRODUTOS DIGITAIS LTDA.,04.654.734/0001-45,"4,500,000.00",1 – 10 milhões,Consultoria em tecnologia da informação,746.00,501–1000,"São Paulo, SP",https://www.linkedin.com/jobs/view/account-executive-h%25C3%25ADbrido-sp-at-invillia-4231746474,,,,,,,,,,,,,[{'job_industry_list': {'industry': 'IT Services and IT Consulting'}}],['Customer Service']
FIERGS,CONDOMINIO INSTITUCIONAL DO SISTEMA FIERGS,03.505.886/0001-13,0.00,Até 100 mil,Condomínios prediais,"1,064.00",1001-5000,"Porto Alegre, Rio Grande do Sul",https://www.linkedin.com/jobs/view/022025-1-bolsista-sesi-at-fiergs-4231702542,,,,,,,,,,,,,[{'job_industry_list': {'industry': 'Civic and Social Organizations'}}],['Other']
MundoMaker,MUNDO MAKER EDUCACAO LTDA.,23.099.462/0001-03,"15,000.00",Até 100 mil,Consultoria em tecnologia da informação,33.00,11–50,"São Paulo, SP",https://www.linkedin.com/jobs/view/estagi%25C3%25A1rio-a-de-satisfa%25C3%25A7%25C3%25A3o-do-cliente-presencial-em-manaus-am-at-mundomaker-4231540186,,,,,,,,,,,,,[{'job_industry_list': {'industry': 'Education Administration Programs'}}],['Customer Service']
Andorinha Embalagens,ANDORINHA FABRICACAO DE EMBALAGENS LTDA,04.281.684/0001-06,"400,000.00",100 mil – 1 milhão,Fabricação de embalagens de cartolina e papel-cartão,68.00,51–200,"Campinas, São Paulo",https://www.linkedin.com/jobs/view/analista-de-rh-at-andorinha-embalagens-4231375124,,,,,,,,,,,,,[{'job_industry_list': {'industry': 'Packaging and Containers Manufacturing'}}],['Human Resources']
BR Mania,PARADA OESTE I CONVENIENCIAS LTDA,45.828.362/0001-03,"30,000.00",Até 100 mil,Comércio varejista de mercadorias em lojas de conveniência,278.00,201–500,"Rio de Janeiro, RJ",https://www.linkedin.com/jobs/view/analista-cont%25C3%25A1bil-pl-at-br-mania-4229040382,,,,,,,,,,,,,[{'job_industry_list': {'industry': 'Oil and Gas'}}],['Other']
